Demand ID; Started at; Source Node; Destination node; Bitrate; Duration; Is success; Links in path; Path length; Is shortest path; Required core; Required index
14966; 1034; 8; 14; 687; 2; False; [30, 37]; 990; True; None; None
14861; 1028; 14; 2; 283; 8; True; [8, 27, 34, 49]; 1857; True; 0; 148
14864; 1028; 4; 23; 138; 8; True; [16, 20, 32, 37, 51, 54]; 2934; True; 0; 83
14912; 1031; 7; 15; 678; 5; False; [26, 40]; 801; True; None; None
14843; 1027; 6; 13; 140; 9; False; [23, 30, 37, 50]; 1661; True; None; None
14975; 1035; 8; 17; 642; 1; False; [7, 8, 27]; 1614; True; None; None
14995; 1036; 26; 0; 316; 10; False; None; None; None; None; None
14813; 1026; 9; 24; 801; 10; False; [32, 36, 41]; 2054; True; None; None
14978; 1035; 15; 21; 159; 1; True; [54, 68, 71]; 2351; True; 0; 142
14981; 1035; 22; 8; 164; 1; False; [38, 52, 69, 70]; 1943; True; None; None
14946; 1033; 1; 24; 259; 3; False; [4, 9, 13, 26, 41]; 2360; True; None; None
14838; 1027; 26; 20; 983; 9; False; [2, 11, 24, 38, 76, 79, 80]; 4048; True; None; None
14807; 1025; 1; 13; 325; 11; False; [4, 10, 30, 37, 50]; 2257; True; None; None
14959; 1034; 16; 20; 635; 2; False; [2, 3, 55, 57, 62]; 3247; True; None; None
14997; 1036; 19; 7; 808; 1; False; [0, 6, 61]; 1804; True; None; None
14973; 1035; 19; 8; 331; 2; False; [1, 13, 61]; 1782; True; None; None
14977; 1035; 11; 7; 830; 2; False; [25, 28, 38]; 1244; True; None; None
14999; 1036; 17; 18; 138; 1; True; [56, 58]; 1594; True; 0; 7
14780; 1024; 8; 11; 781; 13; True; [26, 29]; 973; True; 0; 129
14930; 1032; 18; 13; 984; 5; False; [16, 20, 33, 59]; 2350; True; None; None
14894; 1030; 16; 24; 519; 7; False; [4, 9, 13, 26, 41, 55, 57]; 3941; True; None; None
14934; 1033; 14; 16; 513; 4; False; [7, 8, 27, 34, 49, 58]; 3438; True; None; None
14903; 1031; 12; 13; 330; 6; True; [44]; 783; True; 0; 13
14942; 1033; 10; 21; 695; 4; False; [37, 48, 50, 68]; 2694; True; None; None
14656; 1016; 16; 7; 344; 21; False; [6, 55, 57]; 2181; True; None; None
14984; 1036; 10; 9; 639; 1; True; [34]; 456; True; 0; 137
14956; 1034; 11; 14; 638; 3; False; [40, 53]; 796; True; None; None
